,title,review,rating
1081,On the brink??? ,"Sad, bordering farcical experience with all 3 flagship rides closed in the theme park and 3 of 8 water slides closed in the water park. Considering it was a weekend you would have expected the full experience. There was no queues as there was very little footfall at the parks, perhaps the maintenance issues are due to a lack of funds? It made for a bizarre experience. On the plus side the hotel was impressive with a fun ""kingdom room"". We paid 1600 (Malay) for one night b&b and unlimited access the both parks over two days- IF all the rides were working it would have been value but sadly this was not the case. ",2.0
1082,Noise! Colour! Sugar!,"We spent 2 nights here at the end of a week long trip to Singapore. Our 7 year old gave it 20/10 but our 3 teens were not too interested. The hotel is expensive but pretty amazing in terms of colours, decor and sounds. The lifts even have a disco ball and abba music! The themed rooms were really cool although beds as hard as nails so we didn't sleep well. The buffet dinner was a highlight for the kids, with table cloths that can be coloured in, and cupcake decorating as an activity. Very expensive though. The theme parks were ok but more geared to small kids. Our 7 year old was on it until closing and absolutely loved it, but the teenagers got bored. The waterpark rides are pretty tame and suitable for small kids. The second day we went though most of them were closed which was a disappointment. We caught a maxi taxi here from Singapore which cost $150; the going rate is $200 so see if you can negotiate. Also if travelling from Singapore, leave no later than 730am or risk Being stuck for 3 hours at the customs gates. Overall it was a highlight of the trip just to see the sense of wonder and excitement in our 7 year old! She basically said it was the best day of her life. ",4.0
1083,Fun if it's your first theme park,"My family and I stayed at the Legoland hotel for one night and spent one day at the water park and one day at the Legoland park. The water park was incredible. We all had such fun with all the slides, rafts and tubes. Highly recommended for a worthwhile fun wet visit. You can hire towels (expensive) and lockers for your belongings. We get most of our clothes, sunblock, shoes etc on a chair and it was fine. The Legoland hotel is fun for the little ones as there is lego everywhere for them to build and create. We were lucky enough to be upgraded to the premium room where there is lego in a safe that you need to figure out the combination to open it. That was fun for all of us to figure out the cryptic clues all over the room. The room was fine, but it is getting tired and I think they should freshen them up if they continue to charge what they do. We had dinner at the Italian which was surprisingly very good. The breakfast buffet on the other hand was shocking. Plastic, processed, inedible, fatty, tasteless food. Toast & fruit is probably the safest to eat. The breakfasts I have had in deepest darkest Africa have been better.... The budget should definitely be relooked at for the buffets. But they do cater for all kids needs i.e. Plastic plates and glasses in different colours which is fun for them. Pity we couldn't really fill the plates! The Legoland theme park itself is awesome if it's your first time to a theme park. Some of the rides rules regarding height and age make no sense e.g. My 4 yr old could not go on the very gentle ""spinning cups"" type ride but was allowed to go on the rollercoaster - twice.  There are a lot of extra games that you need to pay more for which was a little annoying. At the end of the day my kids had fun but I would rather do Disneyland in HK. ",3.0
1084,Awesome and great staff ,"Compared with 3 years ago, the theme park had improved a lot. Now, built with many facilities that allow visitor to rest and cool down. Facilities well maintained and toilet are always clean and hygiene all the time. The cleanliness and hygiene level are consistence throughout the theme park. Theme staff are awesome, keep the friendly and approachable altitude. I like the staff that he/ she are always keep the smiley and welcome face. Well done!",5.0
1085,A bit rundown but OK overall.,The rides were a bit rundown but overall it was ok.  The Star Wars exhibit and the water log ride was our highlight otherwise.,2.0
1086,Didnt Have Much Attractions,"The attractions and rides didnt seem to have much, either for adults or younger kids (below 100 or 110cm). Managed to get a big bear from the game stall (extra money to pay excluded from entrance fee), the big bear was cute but very dusty - must be exposed at outdoor for quite a long time.Staff were friendly. ",3.0
1087,Bad service ,"The reservation staff is not properly trained, as she can't make up her mind about our winning coupon, staff was v rude and didn't want to admit her mistake. Hotel room is dirty especially the bathroom there are mold all over the wall .The toilet smell of urine .Overall If u want to visit Legoland don't bother to stay at Legoland hotel, it's not worth it.There are plenty of cheaper, nicer and cleaner service apartments near Legoland Hotel.",1.0
1088,Water park not suitable for under 3 years old,"Due to their ridiculous ‘use floats provided only’, their water park cannot accomodate my one and a half year old who cannot float for 1/2 second with their “US accredited” life vests. Completely unsuitable for babies below 3, in which, ring floats with seats are more suitable for these age groups.I have lodged a complaint, however they insist, their rule is most relevant though very inconvenient for us parents bringing our babies here. Baby head cant be kept above water even for half a second with their life vests and they expect if the baby cannot be accomodated with their life vests then we shud just hold our babies.No comsideration for baby neck floats or bottom ring floats that are even used in hippopo baby spa. ",2.0
1089,A small park but fun for the kids,"Went to Legoland on Monday, having taken a coach ride from Singapore. The park is fairly small but enough rides to keep the kids happy for the whole day.The park was not busy at all, so no issues with long queues. A couple of the rides were down for maintenance.All in all though the kids had a good day.",4.0
1090,Need improvement,"Been there with my 4 y/o child. Actually she loves it since the rides were mostly dedicated for kids. However the closing time 6.30 pm was way too early, other themeparks usually closed around 8 pm.The rides itself need some improvement here and there. Many of them already worn out. Legoland needs to make some improvement to maintain seriously. Meanwhile, outside Legoland was nothing. No shoping center, no markets or other attraction. Just Legoland hotel and waterpark. I will think twice to return again, unless there are any new attractions that worth to visit. ",3.0
1091,Exhibits looking worn and broken - lack of general upkeep throughout the park,"We have had a long history of this place as having visited about 8 times in the last 5 years. We have just returned from what will be our last visit as the upkeep on this place and the marketing of the event (The 5th Birthday sale) was very poor. This is a multinational organisation theme park, and its upkeep is not good. We first visited in the first month it opened and expected some teething issues. Each time we have returned to similar, if not worse situations of rides, or general upkeep. The first time I think may have been enough, but then the water park opened and we had to see that also with kids. This too has seen better days now.Many of the key big ticket exhibits are not bee kept to the level which you expect from major names like Star Wars. The disappointment in seeing the light-sabres broken off the exhibits features of a battle where the figures are fighting it stumps doesn't bring awe and excitement, just disappointment in a few 10-year-olds. The mini Legoland has mould and the feature exhibitions are just poorly kept with an automatic bus roaming the streets of an exhibit with a broken front end and on a lean as no one has fixed it in a year and a half since we went there last. This is typical of many of the exhibits. Boats in the water features surrounding the main exhibition pieces full of water or half submerged due to little attention to upkeep. Figures lying on their sides, and have been for some time. Buttons that don't 'do' anything anymore.These sorts of things should be managed daily as part of upkeep.As to the rides, it is an expectation that the rides are out of order now as we have been so many times and rides are out of action. Never have we been when one ride is not under repair, out of action for the day, or just mysteriously 'not working.' One aspect of the promotional materials which we received when entering the park was a scratchy ticket that gave us 30% off photo purchases; we didn't get it even though we purchased a photo product. Not even in the small print does it mention that it is only one form of photo and that it has to be from a specific booth and you can't have the one you wanted for the ride because you pay for it at the ride, the collect it at 'the shop'...... Very poor communication to the sales team who just bluntly refused to see that their promotional material is misleading. We discussed it with the Customer Service staff also as a point of interest who just plainly blocked our suggestion that this would be better positioned as a single product advice rather than 'Photo Purchases""We were staying at the Legoland Hotel as the main attraction of our visit for our now 10 year old boys and this was the highlight of the trip, not the park. Although the hotel still needs to address what appears to be a concern for food intolerances, nothing is in place to address their needs even when given advance notice, but that's another review....My overall opinion of this place now is that it is like many of the Malaysian attractions. They are great at the start, but lack the upkeep to maintain the standard of the attraction. These places should be packed with tourists, but we had no waits, no delays, and no problems getting onto rides that were suitable for the boys. I think they loved it still, but for a parent paying big dollars for this sort of thing in the Lego shops, it's not been invested back into the attractions. Be prepared for stuff to not be working properly.Stuff in the shop is no better prices than in Singapore either.",2.0
1092,Dont Buy Ticket on-line,"Before leaving home, I bought a tickets for my family and cost me around AU$300. Upon arrival in LEGOLAND it was raining and everyone is excited. I approached the counter and advised me that some of uncover area is closed and the water park is closed. I explained to the manager that we are from far away. The manager advised that if we don't use it we lose all the tickets and need to buy another one. The manage they us another option that we can go on-line and another fee will be charge for changing date. I requested if they can stamp the ticket so we can comeback the next day. The manager insist if we don't go we lose out ticket. But explained to the manager it was raining and their decision to close the park. But yeah they insisted not to do anything to our ticket. So waited to stop the rain also most all day. The park is over rated and minimal attraction for the children's. The way they treated their customer from far away is not good enough. Everything is there its all about money. Only one attraction they should be great in their customer service. The place is run down. The toys are almost can see the dirt and the stain in the Lego blocks. The toilet is too dirty.Very disappointed and not worth what you paid.",1.0
1093,Quite dissapointed,Come on monday and some of the amusement is closed during checking.and to many renovation now.kids below 5 cant play many games.hopefully tried the new lego ninjago ride and the ninjago show.,4.0
1094,Suit for Child,"Legoland Malaysia is a best themepark for child about 3-5 year-old. Adults can't play at this park, but the buildings are totally awesome",5.0
1095,Activities for kids,"Legoland may suitable for kids but fret not as parents too could join in the fun as some rides need to be accompanied by adults.Some rides may or may not suitable for each kids as height/age requirement required.A lot of food kiosk is available for all.For muslims guest,there is a surau/prayer room available which is comfortable.Tips:Avoid school holiday or weekend.I went during weekdays and not much crowds.",4.0
1096,My boys loved it!,"We stayed at the Legoland Hotel (which is right next to the park), for four nights.The park offers lots of lego exhibits, my favorite is mini world, restaurants, shops, activities and amusement rides. There is also a massive water park which my boys also love!We spent two full days there and they could have spent longer if given a choice.It was our second trip, the first being three years ago.My boys, 9 and 12 would go back again tomorrow!",5.0
1097,Charmless and horrible,This is a very poor copy of Legolands elsewhere in the world.  If at all possible you should visit one of the other Legolands.The ticket office is blatantly dishonest advising that online tickets must be bought 3 days in advance.  This simply isn't the case.  The online tickets are of course much cheaper.The staff appear genuinely depressed which adds to the general gloominess of the place.Don't visit Johor Bahru just to visit this place.  Stay in Singapore where the people are friendly and things work.,1.0
1098,Really hot indeed,"Loose my spirit for horrible high temperature, so hot. Not recommend came without bring umbrella or big hat.",3.0
1099,Great Return Trip,My second visit1. Great for kids. Lots of activities happening in the hotel.2. Rooms are spacious 3. Great Buffet spread for breakfast4. you get free Lego items in the rooms5. However the check in is at 4pm on a Sunday. Check out at 11am.,4.0
1100,Delights everytime,"We visited once in December 2012 and once in March 2017. We were delighted on both occasions. For the first visit, we covered Miniland and almost all of the roller coaster rides. The Miniland is amazing with all its details while the rides are mild yet exciting, perfect for our 4 year-old daughter then. During the second trip this year (with our kids aged 8, 4 and 8-month-old) we had plenty of fun too. Even though it rained for quite a while and we were ""trapped"" mainly in the Ninjago 4D section, we enjoyed and took the Ninjago ride several times. After the rain cleared, we took a few simple carnival rides, did some firefighting and went to the Driving School. Overall, this is a place that caters well for the young and young-at-heart. There's something for everyone (except for those aged below 1) and I'm already planning a third trip for my youngest child.",5.0
1101,Great for young children,Rides may not be thrilling enough for teenagers. Plenty of playgrounds and photo spots for the younger ones.,4.0
1102,"Surprisingly Good, very clean and worth a visit.","We visited Legoland here in Johor Bahru at the end of August 2017. We were staying in Johor Bahru and simply caught a bus at the Larkin Terminal which took us directly there. We visited during the week and arrived just as it opened. It was actually quite empty and remained so throughout the day. There were practically no queues for all of the rides; we managed to do them all twice and some we even did three times. Legoland itself was very clean and the staff there were very friendly and approachable. Although it's not the biggest theme park, it's still a good size with a nice variety of attractions/rides for the whole family. The driving school in particular was a favorite with our two youngest children.The fact the park was so empty made it even more special because it allowed us the opportunity to do all the rides without having to wait no more than 4 or 5 minutes. There is a nice place to eat, some shops and the toilets were always being cleaned. Everytime I visited the toilet there was someone either cleaning or just finishing cleaning. I would recommend a visit to this park if you're in the area, especially so during the week when it's far less busy. We had a great time.",4.0
1103,Legoland Theme Park visit,"Legoland Gelang Patah / Johor BahruVisited this theme park with family and kid, was raining but my opinion it's quite good theme park.A lot of games and rides, half dat won't be enough to play all the games and rides.So make sure you have whole day just for the Theme Park..We missed the water park, because we didn't have enough time in Johor Bahru.Would visit theme park and Water Park on the second day in the future.Thanks so much",4.0
1104,Best!,"Very fun place. Everything is top quality. My 6 year old boy had a blast, as he was just tall enough to go on all the rides they had to offer. They could offer some more halthy/vegetarian/vegan options in the restaurants. Other than that, our trip couldn't have been better! ",5.0
1105,Average ,"The car park to Legoland makes you think that this theme park is old and deserted. After a walk you suddenly find yourself at the front gate. Upon buying tickets, the woman did not believe our daughter was 3 and demanded a passport which we hadn't brought with us. We were forced to buy her a child's ticket which annoyed me because once inside, since she is so little, she couldn't go on a lot of the rides. But yet we had been forced to buy her a child's ticket only for her to miss out on a lot of rides. I'd expect Legoland to have the same atmosphere as the one in America, but this park just didn't have any sort of vibe at all! It was quiet when we went, but it was really quite boring. Granted there is always something to do while waiting for your older kids to get off rides, and there are buildings with air conditioning which provide a welcome relief from the beat! Our 5 kids had fun, but it didn't compare to a day out at Universal Studios in Singapore.",3.0
1106,for kids and young at heart,"great for kids and young at heart, should expect to spend the whole day here. check on their website to get a good deal on their tickets.",5.0
1107,Love the giant fans around the park,"It was scorching hot the day we visited, but the giant fans placed at strategic locations around the park made up for it. There was welcoming gush of cool air every now and then. The queues were generally manageable (can't say they move fast, but everything was in good order, and you just need to be patient for some of the rides, just like Universal Studios Singapore). My kids (2yo and 4yo) had fun running around the big space, and the elder one utterly enjoyed himself on the few rides he tried. We only visited the main park and we left around evening time (reached about 11am). It was a good trip.",5.0
1108,Fun but could use a little more shad,"Could really use more shad since it's always hot in Malaysia, the playground equipment were so hot that can cause damaging burnt. But in overall a fun place to be and would come back again when my kid is little older!",4.0
1109,Great day out,"I would recommend this place to families with young children, as they'd have the most fun. The theme park itself is great, plenty to see, eat and do. The park offers a variety of rides and all the different sections are executed wonderfully. My 9 year old daughter was quite pleased with everything and my husband was in awe of the lego built towns and cities. Though I will say the entry tickets are a little pricey",4.0
1110,First visit to Legoland,"If you've not been to legoland and you have kids below 8 years old, a visit is a must. My daughter had fun in legoland. Lego city was great with the cars, the train, the fire-engine, etc. My only grouse is that its very hot since JB is tropical and the sun will be hot. The heat tires people out. I'm not sure if the lego sets will last in the sun. Minimally, i felt Lego City and Mini Land should be in an air-con dome. The train should move within an air-con dome. We were also quite disappointed that the ninjago ride was totally not working. Staff put a maintenance sign and told us they needed time to fix it. We checked from 12pm till 5pm and it was still not working.",4.0
1111,FUN for kids and lego fans,"Amazing arrangements and  activities for every one , we enjoyed alot during our visit , Water park and  lego land is not  very big park but for relax and a different experience from the other attractions",5.0
1112,Perfect place for fun,"I went to legoland with my family. My kids loved it. The Legoland park is a very nice place to go for fun. They have many attractions included 3D cinema, theatre, indoors playground, race track, boat and perfect city structure made by Lego. The water park is good, but it is not to big. We will go back !!! ",5.0
1113,Family Trip was amazing,"We stayed here for one night only just to experience the themed hotel, expensive but its all worth it!! My kids really had fun with the hotel facilities! We love the elevator which everytime we take going up and down, we will shout ""party in the elevator"" and dance! In the night after our dinner in Kai's sushi bar , we went to lobby and were so entertain with the dancing pirates! Kids are dancing with them and even invites the parents too, legoland was really good for a family trip and bonding!! We will definitely come back in the future,,, ",5.0
1114,Wonderful stay with kids,"We travelled as 3 adults with our 2 young grandchildren.  This was perfect!  The room was amazing complete with treasure chest for the kids.  It was so clean and had everything we could possibiliby need, the housekeeper on floor 7 was so friendly and helpful she should be commended on her peoples skills.  The restaurant is so child friendly it was heaven for them.  The parks were idle and fun.  The lift even had a disco playing, the foyer had a big screen kids dance showing and lego play areas everywhere.  This is certainly the best child accommodation I have ever seen.  The only negative was we paid for an early checkin and after 3 attempts finally was given our room, mid afternoon.  The reception attendant did personally find us and give us the key which was amazing customer service, however paying for an early checkin is a waste of money.  I definately would recommend this hotel to anyone wanting to gve there kids the stay of a lifetime.",5.0
1115,Awesome Place for Kids,"Beyond imagination, this place is wonderful for kids. Can do better with food options for vegetarian and vegan.",4.0
1116,Fun place for the kiddo ,"You can buy the ticket online and get it verify with Mykad upon entering. We went for the dry park, which consists of 7 theme park. One day itself is not enough, need at least 2 days. It's a hot day. Bring your cap or umbrella. Car park is far walking distance. Most of the ride require kid to be 6yo or 100cm above. There is restaurant in most of the theme park which varieties of western and Asian foods. You can't bring your own food except plain water. Toilets are clean. Expect to queue during holidays but we spent less than 30mins so still acceptable. ",4.0
1117,Perfect combination of resort and theme park for kids of all ages!,"Our family, including an 8 and 7 year old had a great couple of days at Legoland. Our 8 year old son loved the Dragon roller coaster. The Lego displays were great. Our 6 year old daughter loved the Ninjago ride and the water park. We all really enjoyed the master builder workshops, which were very professionally run.We went on a Wednesday and stayed over night (during the mid-year Aust school holidays), so we found that there were no queues at all for any rides. It was hot walking around but the shows and some of the rides were indoors so we were able to escape the heat.The themed hotel was excellent, and the kids were excited with the in room treasure hunt.The hotel and 2 day them park passes were definitely cheaper booked in advance. So I would highly recommend you book at least 7 days before you go. And it was only a 45min drive, in a private transfer, from Singapore CBD.",4.0
1118,Depends..,"Depends on your kids age n heights... not much ride my 3yo gal who was a small sized couldn't take some rides. But if you're going, NiNjaGo adventure rides is a must go!! Very very fun!!! It will located inside the NinjaGo red temple!!",4.0
1119,Enjoyable ,"Legoland has opened its doors a few years now but thankfully the property, rides and facilities remain well maintained. At the time of visit the queue to most rides was manageable and the weather was not overwhelming. Take note that the park is mostly unsheltered so going during heavy rain or intense heat will require some preparation otherwise it will be quite unpleasant for both adults and young children. The attractions continue to be upgraded and introduced so still worth visiting more than once. The park has enough eateries as rest points, unless you have young infants, it may not be necessary to stay in nearby Legoland Hotel. Well worth a visit particularly for younger children, most rides permit children with height above 120cm.",5.0
1120,Probably one of the better theme parks,"Now, if you have children below 12, that would make this theme park great. Most theme parks caters to adults and teenagers but here children between 3 and 12 would thoroughly enjoy themselves as most rides are designed for them. A must go if you have young children.",4.0
1121,Great place on a weekday,"Go there with your children on a weekday! A perfect place since it is quiet, no queues and very nice attractions. ",5.0
1122,Suitable for pre schoolers,"Took my 6 & 4 yo there during the school holiday. It was a good introductory theme park for preschoolers I would say. Park is well maintained however in a tropical country like Malaysia where the Sun is always scorching hot, you ought to have more shades in an outdoor park like this. Even with a shaded stroller, kids could get toasted. Other than that, kids had a lot of fun. Staff were friendly and helpful despite the language barrier with foreign staff as some didn't seem to speak much English. ",4.0
1123,Surprise Trip making an 8 Year old boy very happy!,"We told our son who had been asking to go to LEGOLAND for months now that we were going to Johor and would be visiting the Museums there, he was happy but still sad he would not get his wish.  As we approached LEGOLAND he saw a sign and asked if the museum was here as well, we only let him into the secret when he was out of the car and still asking why we had not bought tickets for him, we passed him the tickets and the fun started from there!2 Days in the Water and Attraction Park, what a great time, we did every ride apart from two which were deemed too scary by our now professional 8 year old tour guide :-)Fantastic facilities, clean and well maintained throughout, the staff there were helpful and always smiling, it is a kids park but hey, the adults can enjoy too! Well worth the cost as sadly it is not cheap",5.0
1124,Could still be better ..... untapped potential,"Brought the family to Legoland on 4 September 2017 to both the wet and dry parks. Overall, it was an ok experience although they could still do a lot more in making the place cooler or shaded in between attractions as it was just way too hot. Some suggestions - have a relook at your height / age ride restrictions. Some rides have a height restriction of 100cm + age restriction of 6 years old (Wave Racers) and another 110cm + 4 years old (Technic Twister). My older boy is above 100cm and 5 years old and guess what, he couldn't sit on either ride which is disappointing and seriously, stupid, because if you compare the 2 rides, 110cm/6 years old and 100cm/4 years old, what's the correlation? Did someone actually think through before putting up such restrictions??As for the water park, I really think that some of the equipment needs some maintenance especially the Lego bricks in the Build-a-Raft River.Moreover, I thought that the park was generally supposed to be smoke-free but everytime I went to the toilets, guess what, there are people smoking somewhere.Food-wise has improved since I was last year but could still be improved and the pricing could really be relooked at because some of the food can be really expensive for the quality / quantity.",3.0
1125,Great fun for the whole family!,"It is easy to travel to Legoland by bus from Singapore. We stayed in their themed hotel and the kids really enjoyed a mini puzzle inside the room. The family room was clean and had a great view. There are lots of activities and food eateries around Legoland, so food was not a problem. We really enjoyed our trip.",4.0
1126,"""awesome...""","stay at their hotel & booked the 2 days combo during the school holiday last week...the theme park was good...a lot of fun activities for kids and families...the project x, ninjago ride, 4d cinema, dino island and others...my personal favourite is the miniland...we went to the water park on the second day...there's a big water playgroud for kids...there's also a wave pool, lazy river and slides for adults...we spent a little time here & then we back to our room to change our clothes and went back to their theme park again...the service provide from the staff is remarkable...friendly, attentive & helpful...to the staff, you guys are awesome...",4.0
1127,For Kids,"I'm so surprised when visit there all people come with their kids haha i thought that will be adults activities but all activities basically for kids. But I'm so lucky they held Star Wars event in that time, so I can take a picture with Star Wars in Lego character",4.0
1128,Nice  place,"We went to Legoland by bus from  Johor Bahru,  was a  nice experience, but the cost  of tickets were expensive, we did, but for the amount  of  money, I believe it's to much... but as  I said was  a good experience after  all..  Valerio",3.0
1129,Theme park was good! Water park need more activities for bigger kids and adults,"Theme park was good for all ages, the Water park caters more for primary kiddies and just a few rides for the bigger children and adults, not worth the entrance fees",4.0
1130,Great visit to nearby legoland Malaysia!,"I only went to the legoland theme park and not the water park. My kid (being 2 years old) wouldn't have benefited from going to the water park anyway.- no outside food allowed into the theme park! I'm serious! They stationed freaking security officers outside that checked our bags (I thought it was for guns or bombs) but were confiscating bread, chips or even homemade sandwiches from all the patrons! They seriously goto review this stupid policy.- couldn't find ice cream vendors in the theme park. For the hot weather I thought they should really think this is a good idea. The only vendor we finally found ran out of the usual ice cream flavours and only had mango. Right.... for a 2 year old... who usually likes chocolate or vanilla... - no sale of cotton candy or cute cold drinks.- no water coolers around. So keep spending money and buying water if u need. - family rooms usually located around the restaurants and eateries. But beware there's usually a queue. N if ure a breastfeeding mum, tough luck! No visible nursing room! Jus sit n nurse with a nursing cover where ever u r. Really! Don't do it in the family room cos it's quite dirty.- check the rides for the height or age limits before queueing. My 2 year old couldn't sit on the thrill rides.- show schedules were not published online or even in the brochures. We r supposed to walk around and look at the sign boards directly outside the show areas for the show timings.- meet and greet characters had no known timing or venues published. I couldn't find info on this anywhere! Not even from the information counter. Wahaha.- by a stroke of luck I managed to catch the ninjago meet and greet character, the ninjago show time which was just nice after our lunch and right outside the market restaurant. Also managed to catch the star wars character dance. It's at 4pm. Some guy or lady will be shouting it few minutes before to remind ppl they r coming.- there were thankfully still many rides for a toddler to take so she had a lot of fun n things to see and do!  Definitely a theme park for kids of all ages.",3.0
1131,Great Park for Under-10s,"Very nice, orderly and clean park.  I was at the water park this time.  Tried the Gazebo facilities which was excellent.  Like the dry park (tried that last year), this amusement park is most suitable for under 10s.  It's not very big and can be covered in one morning.  Food is expensive as expected but very good. Great place to let the little ones run free.  The ""Build a Raft"" river is a must try for Lego fans.",4.0
1132,Fun at Legoland,"We went into JB on 31 Aug 2017 via Woodlands Checkpoint. The traffic was very smooth all the way from Sengkang. We reached Legoland hotel within 50 min. As hotel guests, we are allowed to enter the Theme Park earlier at 9.30am. So we started with the Water Park. We enjoyed the floating in the lazy river, had fun at the big water playground and then followed by having the thrilling rides at the various slides, such as Red Rush, Brick Blasters and Splash & Swirl. There was almost no queue and we could play and had fun for many times.We went for lunch at about 12noon. After that, we continued with the Theme Park. Again we had lots of fun there. The waiting time for rides was mostly 5 min. We enjoyed ourselves a lot. As we bought the 2 Day combi tickets, we went to the 2 parks the next day. On 1 Sep, there were slight many people in the late morning. Luckily we were able to enter the parks at 9.30am.",5.0
1133,Sunny but fun...,"My girl (4yrs old)  likes the rides.  Even though it's sunny,  we fully enjoy ourselves... Especially occasion places that has air conditioning...",4.0
1134,Lego Themed Park,"We got our tickets at a cheap price in a travel agency in SG.  I think this is the top tourist spot in JB. Aside from the amazing rides, the park have many lego structures that is very amusing.",4.0
1135,This place is awesome ,"""All good and all ok, but some of the roller coasters can make your belly sick "" Mr 6.The theme park is definitely a two day job, staying at the Legoland hotel you can get discounted two day pass to Legoland and the waterpark. Pace yourselves and your little ones to save on meltdowns. The park is quite hot so take sunscreen hats water etc. grab some maps we marked off rides as we went so we didn't miss anything . You will get very wet on the Dino splash mountain ride, you have been warned. We loved this park, so many great family photos ops, so mum Doesn't miss out. Legoland water park is great fun, Mr6 and I did all the slides in 1 hour, racing against an impending thunder and lightning storm. Please note extreme weather will close all the rides at both parks. The park is perfect for 6 (120cm) and up they can go on all the rides and will love the freedom of riding without my Or dad. Go have a ball make amazing memories together. ",5.0
1136,Nice parks,Good and nice park and water park ..Fun for the kids.Only require 2 days stay to finish both parks at your convenient ,5.0
1137,A great and memorable experience for all of us.,"We missed the great entrance of legoland with the big LEGOLAND sign on it since there is an on-going construction right in front of the park. To compensate, they placed a nice backsrop beside the main entrance for picture taking.We were welcomed inside even though the park was not open yet. While waiting there are Lego mascots and dance routine to entertain all early park guests.There are new rides added in the park. The new Ninjago ride was so much fun for all of us.What was really fun and exciting is that the park was made for small or younger children unloke other themed park. My kids were 115 and 120cm tall and we were able to ride even the extrme Project X ride (roller coaster)The food selection is wide and the proportion is great for sharing.The park accepts both RM and SGD (as most tourist comes from Singapore)  as currency but the change will only be RM. Not to worry, for RM loose change you can always buy snacks and small souvenirs from the nearby mall.We enjoyed our experience both in Legoland Park and Water Park.We are surely going back especially after 2018 when the Sea Life opens.Thank you Legoland",4.0
1138,a must for lego fans! ,"Went for the theme park only as my daughter  has not reached the minimum height for most rides. We were lucky that weather was good on the day we were there. Crowds was also not to its maximum capacity as average queue was at 15-20minutes. My daughter loved the duplo playground, the observation deck, boating ride and the train ride. The lego miniland was also impressive despite being able to withstand our harsh weather of sun and rain. There are ample place for kids to either run around and enjoy the rides or opt to sit down and just play with their lego bricks.However at times during peak hours rides  can be closed temporarily for maintenance which can cause disappointment.Food is pricey and mediocre which is typical for a theme park. Service from the staffs was pleasant and accommodating. Toilet cleanliness was superb - totally clean which was a BIG surprise to me as where our general public toilet hygiene level is quite poor. ",4.0
1139,Good times :),"We had a fabulous time in legoland. Ninjago 4D experience, driving school, boating school, mini rollercoaster are the highlights of our trip. Not to forget the police/firemen game and starwars lego. They are awesome. Very good adventure for parents and kids. The puppet show and the dance parade also very entertaining. The theme park is really big, we stay until closing time at 7 pm but still cant finish touring all the attraction. Maybe because we were wasting time queuing for tickets at the very beginning. Will do online booking next time.Overall experience was excellent. Recommended!",5.0
1140,great place,"I fly to Malaysia 3-4 times per year. I went to this place and I like it. i have been here 4 times. What I like most is the good view and also enjoy the playground around to walk. I recommend you to try the local special dish which they will sell in the park too. Best regards,Dr. Vorravee PattaravongvisutMan on the Move",3.0
1141,Awesome experience for kids & adults! ,Most rides were safe for kids 5 and above. We enjoyed shopping too for souvenirs and special lego sets! ,5.0
1142,very nice place for family vacation,"Stayed on the hotel, and feel so relaxed and happy here with my husband and my 10 months old baby.The room is comfy ( I booked the Kingdom Themed Suite ), and my baby just happy to explore all the things in the room.Mommy and Daddy can relaxed then. The food is OK, not to special but fun.The themed park is OK too, a little bit old ( please take care of the park more ), but enjoyable with several unique activities.Do not take the train because it is so slow and cannot hear what the naration is anyway.The boat is nice, and dont forget to take a looott of photos in Miniland :)Overall, a very good place to make family memories~",4.0
1143,Excellent theme park for young children,Allocate 1 day for theme park and 1 day for water park. Buying a one day combo is not a good idea. Many rides to try. Good choice of food for lunch. Everything good except the staff stationed at the rides should be trained to smile and willing to interact with the visitors. A few of them looked like they are very unhappy and are forced to work there.,5.0
1144,wholesome and fun!!!,I always go here overtime I go to Malaysia to visit my family. It is a very big place!!! It has fun rides as well as swimming pools. Very entertaining and fun.,5.0
1145,Must visit!,"Very much worth it IF you&family really-really like LEGO, the whole place is absolutely clean, secure, safe (for family with small children), even there's Lego Hotel as well to stay..dont worry @The Beginning there's ATM, stroller rental, the toy shop, cafe, baby care, locker rental, a market restaurant @Lego City that affordable prices, got many of snack&drink counter, toilet, surau, lot of roller coaster @Lego Kingdom&@Lego Technic that must ride, 4D studio @imagination, Lego Starwars, NinjaGo, Land of adventure and Miniland..Dont forget to chill down to the Water Park after playing at Lego Land..but dont buy any food there, cos' the tag are a lil bit too pricey..Just purchase any food&drinks later or buy on the Lego Land before go to Water Park..",5.0
1146,Great place to visit,"We recently visited Legoland for two days and loved every minute. Staff are fantastic, everyone had a smile and a polite greeting. The park is well maintained and the rides are good fun.The water park is great too, lots to do for kids of all ages. We did have a thunder storm come through for an hour on the second day and so the water park shut down but we were allowed to grab a lego boat and lego for our 4 and 2 year old to play with until it passed.Good choice of food options and food is affordable. ",5.0
